AVG 90.1%

Ep0 4s lossLab=1.5260 trainAcc=0.2329 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=0.62 testF1E=0.71 maxAccE=0.62 maxF1E=0.71 Ep0
Model saved in file: ./saveModel/model-0
Ep1 1s lossLab=1.4204 trainAcc=0.2409 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=5.00 testF1E=5.72 maxAccE=5.00 maxF1E=5.72 Ep1
Ep2 1s lossLab=1.4085 trainAcc=0.2631 testAcc=25.00 maxAcc=25.00 Ep0 testAccE=15.62 testF1E=9.40 maxAccE=15.62 maxF1E=9.40 Ep2
Ep3 1s lossLab=1.3750 trainAcc=0.3216 testAcc=26.25 maxAcc=26.25 Ep3 testAccE=23.75 testF1E=11.60 maxAccE=23.75 maxF1E=11.60 Ep3
Ep4 1s lossLab=1.2777 trainAcc=0.4456 testAcc=56.88 maxAcc=56.88 Ep4 testAccE=25.00 testF1E=12.08 maxAccE=25.00 maxF1E=12.08 Ep4
Ep5 1s lossLab=1.0494 trainAcc=0.5343 testAcc=40.00 maxAcc=56.88 Ep4 testAccE=25.00 testF1E=12.08 maxAccE=25.00 maxF1E=12.08 Ep4
Ep6 1s lossLab=0.8790 trainAcc=0.6280 testAcc=81.88 maxAcc=81.88 Ep6 testAccE=25.00 testF1E=12.08 maxAccE=25.00 maxF1E=12.08 Ep4
Ep7 1s lossLab=0.5458 trainAcc=0.8004 testAcc=80.62 maxAcc=81.88 Ep6 testAccE=25.00 testF1E=12.08 maxAccE=25.00 maxF1E=12.08 Ep4
Ep8 1s lossLab=0.5889 trainAcc=0.7984 testAcc=84.38 maxAcc=84.38 Ep8 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep9 1s lossLab=0.3942 trainAcc=0.8488 testAcc=88.12 maxAcc=88.12 Ep9 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep10 1s lossLab=0.2803 trainAcc=0.8982 testAcc=85.00 maxAcc=88.13 Ep9 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep11 1s lossLab=0.2594 trainAcc=0.9032 testAcc=83.75 maxAcc=88.13 Ep9 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep12 1s lossLab=0.2397 trainAcc=0.9113 testAcc=90.00 maxAcc=90.00 Ep12 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep13 1s lossLab=0.2577 trainAcc=0.8952 testAcc=90.00 maxAcc=90.00 Ep13 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
Ep14 1s lossLab=0.1848 trainAcc=0.9315 testAcc=89.38 maxAcc=90.00 Ep13 testAccE=25.00 testF1E=12.01 maxAccE=25.00 maxF1E=12.08 Ep4
