Ep0 10s lossLab=0.3390 trainAcc=0.8700 testAcc=26.11 maxAcc=26.11 Ep0 testAccE=25.00 testF1E=10.95 maxAccE=25.00 maxF1E=10.95 Ep0
Model saved in file: ./saveModel/model-0
Ep1 7s lossLab=0.0680 trainAcc=0.9778 testAcc=36.79 maxAcc=36.79 Ep1 testAccE=25.00 testF1E=10.95 maxAccE=25.00 maxF1E=10.95 Ep0
Ep2 7s lossLab=0.0614 trainAcc=0.9834 testAcc=33.77 maxAcc=36.79 Ep1 testAccE=25.60 testF1E=12.02 maxAccE=25.60 maxF1E=12.02 Ep2
Ep3 7s lossLab=0.0548 trainAcc=0.9834 testAcc=27.92 maxAcc=36.79 Ep1 testAccE=30.24 testF1E=18.33 maxAccE=30.24 maxF1E=18.33 Ep3
Ep4 7s lossLab=0.0512 trainAcc=0.9864 testAcc=34.98 maxAcc=36.79 Ep1 testAccE=39.62 testF1E=27.84 maxAccE=39.62 maxF1E=27.84 Ep4
Ep5 7s lossLab=0.0391 trainAcc=0.9900 testAcc=51.92 maxAcc=51.92 Ep5 testAccE=45.36 testF1E=33.34 maxAccE=45.36 maxF1E=33.34 Ep5
Ep6 7s lossLab=0.0424 trainAcc=0.9868 testAcc=33.17 maxAcc=51.92 Ep5 testAccE=48.29 testF1E=36.88 maxAccE=48.29 maxF1E=36.88 Ep6
Ep7 7s lossLab=0.0330 trainAcc=0.9902 testAcc=51.31 maxAcc=51.92 Ep5 testAccE=24.90 testF1E=11.17 maxAccE=48.29 maxF1E=36.88 Ep6
Ep8 7s lossLab=0.0352 trainAcc=0.9890 testAcc=25.91 maxAcc=51.92 Ep5 testAccE=24.80 testF1E=10.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep9 7s lossLab=0.0260 trainAcc=0.9924 testAcc=36.09 maxAcc=51.92 Ep5 testAccE=24.80 testF1E=10.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep10 7s lossLab=0.0469 trainAcc=0.9864 testAcc=24.90 maxAcc=51.92 Ep5 testAccE=24.80 testF1E=10.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep11 7s lossLab=0.0198 trainAcc=0.9948 testAcc=40.42 maxAcc=51.92 Ep5 testAccE=24.80 testF1E=10.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep12 7s lossLab=0.0274 trainAcc=0.9938 testAcc=40.62 maxAcc=51.92 Ep5 testAccE=24.80 testF1E=10.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep13 7s lossLab=0.0281 trainAcc=0.9918 testAcc=32.66 maxAcc=51.92 Ep5 testAccE=24.80 testF1E=10.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep14 7s lossLab=0.0176 trainAcc=0.9950 testAcc=30.14 maxAcc=51.92 Ep5 testAccE=25.00 testF1E=11.27 maxAccE=48.29 maxF1E=36.88 Ep6
Ep15 7s lossLab=0.0354 trainAcc=0.9896 testAcc=27.32 maxAcc=51.92 Ep5 testAccE=25.20 testF1E=11.62 maxAccE=48.29 maxF1E=36.88 Ep6
Ep16 7s lossLab=0.0141 trainAcc=0.9964 testAcc=29.74 maxAcc=51.92 Ep5 testAccE=25.20 testF1E=11.62 maxAccE=48.29 maxF1E=36.88 Ep6
Ep17 7s lossLab=0.0226 trainAcc=0.9942 testAcc=36.49 maxAcc=51.92 Ep5 testAccE=25.50 testF1E=12.12 maxAccE=48.29 maxF1E=36.88 Ep6
Ep18 7s lossLab=0.0125 trainAcc=0.9956 testAcc=28.63 maxAcc=51.92 Ep5 testAccE=26.21 testF1E=13.28 maxAccE=48.29 maxF1E=36.88 Ep6
Ep19 7s lossLab=0.0205 trainAcc=0.9946 testAcc=26.92 maxAcc=51.92 Ep5 testAccE=27.02 testF1E=14.55 maxAccE=48.29 maxF1E=36.88 Ep6
Ep20 7s lossLab=0.0144 trainAcc=0.9954 testAcc=41.13 maxAcc=51.92 Ep5 testAccE=27.72 testF1E=15.49 maxAccE=48.29 maxF1E=36.88 Ep6
Ep21 7s lossLab=0.0271 trainAcc=0.9914 testAcc=27.92 maxAcc=51.92 Ep5 testAccE=28.53 testF1E=16.75 maxAccE=48.29 maxF1E=36.88 Ep6
Ep22 7s lossLab=0.0222 trainAcc=0.9956 testAcc=28.33 maxAcc=51.92 Ep5 testAccE=29.54 testF1E=18.07 maxAccE=48.29 maxF1E=36.88 Ep6
Ep23 7s lossLab=0.0111 trainAcc=0.9964 testAcc=24.80 maxAcc=51.92 Ep5 testAccE=30.44 testF1E=19.43 maxAccE=48.29 maxF1E=36.88 Ep6
Ep24 7s lossLab=0.0710 trainAcc=0.9836 testAcc=25.40 maxAcc=51.92 Ep5 testAccE=30.95 testF1E=20.12 maxAccE=48.29 maxF1E=36.88 Ep6
Ep25 7s lossLab=0.0234 trainAcc=0.9928 testAcc=26.31 maxAcc=51.92 Ep5 testAccE=32.06 testF1E=21.61 maxAccE=48.29 maxF1E=36.88 Ep6
Ep26 7s lossLab=0.0064 trainAcc=0.9978 testAcc=25.91 maxAcc=51.92 Ep5 testAccE=32.86 testF1E=22.71 maxAccE=48.29 maxF1E=36.88 Ep6
Ep27 7s lossLab=0.0016 trainAcc=0.9992 testAcc=27.92 maxAcc=51.92 Ep5 testAccE=33.47 testF1E=23.35 maxAccE=48.29 maxF1E=36.88 Ep6
Ep28 7s lossLab=0.0020 trainAcc=0.9992 testAcc=31.65 maxAcc=51.92 Ep5 testAccE=34.38 testF1E=24.76 maxAccE=48.29 maxF1E=36.88 Ep6
Ep29 7s lossLab=0.0024 trainAcc=0.9992 testAcc=27.32 maxAcc=51.92 Ep5 testAccE=35.08 testF1E=25.62 maxAccE=48.29 maxF1E=36.88 Ep6
Ep30 7s lossLab=0.0384 trainAcc=0.9870 testAcc=24.90 maxAcc=51.92 Ep5 testAccE=35.18 testF1E=25.74 maxAccE=48.29 maxF1E=36.88 Ep6
Ep31 7s lossLab=0.0195 trainAcc=0.9934 testAcc=25.10 maxAcc=51.92 Ep5 testAccE=34.68 testF1E=25.11 maxAccE=48.29 maxF1E=36.88 Ep6
Ep32 7s lossLab=0.0048 trainAcc=0.9986 testAcc=26.11 maxAcc=51.92 Ep5 testAccE=34.48 testF1E=24.90 maxAccE=48.29 maxF1E=36.88 Ep6
Ep33 7s lossLab=0.0006 trainAcc=1.0000 testAcc=26.01 maxAcc=51.92 Ep5 testAccE=34.38 testF1E=24.73 maxAccE=48.29 maxF1E=36.88 Ep6
Ep34 7s lossLab=0.0001 trainAcc=1.0000 testAcc=25.71 maxAcc=51.92 Ep5 testAccE=34.27 testF1E=24.59 maxAccE=48.29 maxF1E=36.88 Ep6
Ep35 7s lossLab=0.0001 trainAcc=1.0000 testAcc=25.71 maxAcc=51.92 Ep5 testAccE=34.27 testF1E=24.59 maxAccE=48.29 maxF1E=36.88 Ep6
Ep36 7s lossLab=0.0000 trainAcc=1.0000 testAcc=25.71 maxAcc=51.92 Ep5 testAccE=33.87 testF1E=24.12 maxAccE=48.29 maxF1E=36.88 Ep6
Ep37 7s lossLab=0.0000 trainAcc=1.0000 testAcc=25.81 maxAcc=51.92 Ep5 testAccE=33.67 testF1E=23.81 maxAccE=48.29 maxF1E=36.88 Ep6
Ep38 7s lossLab=0.0000 trainAcc=1.0000 testAcc=25.81 maxAcc=51.92 Ep5 testAccE=33.27 testF1E=23.27 maxAccE=48.29 maxF1E=36.88 Ep6
Ep39 7s lossLab=0.0000 trainAcc=1.0000 testAcc=25.81 maxAcc=51.92 Ep5 testAccE=33.06 testF1E=22.99 maxAccE=48.29 maxF1E=36.88 Ep6
Ep40 7s lossLab=0.0000 trainAcc=1.0000 testAcc=25.81 maxAcc=51.92 Ep5 testAccE=32.76 testF1E=22.61 maxAccE=48.29 maxF1E=36.88 Ep6
