Ep0 4s lossLab=1.4094 trainAcc=0.4375 testAcc=37.50 maxAcc=37.50 Ep0 testAccE=0.52 testF1E=0.83 maxAccE=0.52 maxF1E=0.83 Ep0
Model saved in file: ./saveModel/model-0
Ep1 1s lossLab=0.3555 trainAcc=0.8810 testAcc=53.65 maxAcc=53.65 Ep1 testAccE=25.52 testF1E=26.80 maxAccE=25.52 maxF1E=26.80 Ep1
Ep2 1s lossLab=0.1375 trainAcc=0.9516 testAcc=61.46 maxAcc=61.46 Ep2 testAccE=30.73 testF1E=29.66 maxAccE=30.73 maxF1E=29.66 Ep2
Ep3 1s lossLab=0.1124 trainAcc=0.9728 testAcc=46.88 maxAcc=61.46 Ep2 testAccE=31.25 testF1E=27.38 maxAccE=31.25 maxF1E=27.38 Ep3
Ep4 1s lossLab=0.1078 trainAcc=0.9667 testAcc=46.35 maxAcc=61.46 Ep2 testAccE=31.25 testF1E=24.08 maxAccE=31.25 maxF1E=27.38 Ep3
Ep5 1s lossLab=0.0650 trainAcc=0.9819 testAcc=44.27 maxAcc=61.46 Ep2 testAccE=32.81 testF1E=23.02 maxAccE=32.81 maxF1E=23.02 Ep5
Ep6 1s lossLab=0.0414 trainAcc=0.9879 testAcc=59.90 maxAcc=61.46 Ep2 testAccE=33.33 testF1E=22.31 maxAccE=33.33 maxF1E=22.31 Ep6
Ep7 1s lossLab=0.0287 trainAcc=0.9909 testAcc=55.21 maxAcc=61.46 Ep2 testAccE=34.38 testF1E=22.66 maxAccE=34.38 maxF1E=22.66 Ep7
Ep8 1s lossLab=0.0200 trainAcc=0.9940 testAcc=67.71 maxAcc=67.71 Ep8 testAccE=34.38 testF1E=22.65 maxAccE=34.38 maxF1E=22.66 Ep7
Ep9 1s lossLab=0.0133 trainAcc=0.9980 testAcc=65.10 maxAcc=67.71 Ep8 testAccE=33.85 testF1E=22.17 maxAccE=34.38 maxF1E=22.66 Ep7
Ep10 1s lossLab=0.0081 trainAcc=0.9970 testAcc=68.23 maxAcc=68.23 Ep10 testAccE=33.33 testF1E=21.85 maxAccE=34.38 maxF1E=22.66 Ep7
Ep11 1s lossLab=0.1640 trainAcc=0.9567 testAcc=38.54 maxAcc=68.23 Ep10 testAccE=33.33 testF1E=21.78 maxAccE=34.38 maxF1E=22.66 Ep7
Ep12 1s lossLab=0.0882 trainAcc=0.9748 testAcc=56.25 maxAcc=68.23 Ep10 testAccE=33.33 testF1E=21.77 maxAccE=34.38 maxF1E=22.66 Ep7
Ep13 1s lossLab=0.0617 trainAcc=0.9829 testAcc=69.79 maxAcc=69.79 Ep13 testAccE=34.38 testF1E=22.60 maxAccE=34.38 maxF1E=22.66 Ep7
Ep14 1s lossLab=0.0157 trainAcc=0.9980 testAcc=72.40 maxAcc=72.40 Ep14 testAccE=35.42 testF1E=23.46 maxAccE=35.42 maxF1E=23.46 Ep14
