AVG 48.0%

Ep0 4s lossLab=204.1407 trainAcc=0.1083 testAcc=10.42 maxAcc=10.42 Ep0 testAccE=14.58 testF1E=5.38 maxAccE=14.58 maxF1E=5.38 Ep0
Model saved in file: ./saveModel/model-0
Ep1 0s lossLab=2.6884 trainAcc=0.1500 testAcc=27.08 maxAcc=27.08 Ep1 testAccE=14.58 testF1E=5.53 maxAccE=14.58 maxF1E=5.53 Ep1
Ep2 0s lossLab=2.1805 trainAcc=0.1958 testAcc=25.00 maxAcc=27.08 Ep1 testAccE=14.58 testF1E=5.53 maxAccE=14.58 maxF1E=5.53 Ep2
Ep3 0s lossLab=2.0368 trainAcc=0.1958 testAcc=16.67 maxAcc=27.08 Ep1 testAccE=14.58 testF1E=5.38 maxAccE=14.58 maxF1E=5.38 Ep3
Ep4 0s lossLab=2.0088 trainAcc=0.2333 testAcc=27.08 maxAcc=27.08 Ep1 testAccE=14.58 testF1E=5.65 maxAccE=14.58 maxF1E=5.65 Ep4
Ep5 0s lossLab=1.9641 trainAcc=0.2792 testAcc=33.33 maxAcc=33.33 Ep5 testAccE=14.58 testF1E=5.66 maxAccE=14.58 maxF1E=5.66 Ep5
Ep6 0s lossLab=1.9603 trainAcc=0.2750 testAcc=31.25 maxAcc=33.33 Ep5 testAccE=14.58 testF1E=5.39 maxAccE=14.58 maxF1E=5.39 Ep6
Ep7 0s lossLab=1.9451 trainAcc=0.2125 testAcc=27.08 maxAcc=33.33 Ep5 testAccE=12.50 testF1E=3.58 maxAccE=14.58 maxF1E=5.39 Ep6
Ep8 0s lossLab=2.0332 trainAcc=0.2333 testAcc=33.33 maxAcc=33.33 Ep5 testAccE=12.50 testF1E=3.58 maxAccE=14.58 maxF1E=5.39 Ep6
Ep9 0s lossLab=1.8145 trainAcc=0.3042 testAcc=39.58 maxAcc=39.58 Ep9 testAccE=12.50 testF1E=3.58 maxAccE=14.58 maxF1E=5.39 Ep6
Ep10 0s lossLab=1.8612 trainAcc=0.2792 testAcc=31.25 maxAcc=39.58 Ep9 testAccE=14.58 testF1E=4.56 maxAccE=14.58 maxF1E=4.56 Ep10
Ep11 0s lossLab=1.8248 trainAcc=0.2875 testAcc=39.58 maxAcc=39.58 Ep9 testAccE=14.58 testF1E=4.56 maxAccE=14.58 maxF1E=4.56 Ep11
Ep12 0s lossLab=1.7944 trainAcc=0.2833 testAcc=16.67 maxAcc=39.58 Ep9 testAccE=14.58 testF1E=4.56 maxAccE=14.58 maxF1E=4.56 Ep12
Ep13 0s lossLab=1.8016 trainAcc=0.2875 testAcc=25.00 maxAcc=39.58 Ep9 testAccE=14.58 testF1E=4.56 maxAccE=14.58 maxF1E=4.56 Ep13
Ep14 0s lossLab=1.6448 trainAcc=0.3333 testAcc=29.17 maxAcc=39.58 Ep9 testAccE=16.67 testF1E=6.37 maxAccE=16.67 maxF1E=6.37 Ep14
Ep15 0s lossLab=1.7498 trainAcc=0.2833 testAcc=12.50 maxAcc=39.58 Ep9 testAccE=16.67 testF1E=6.37 maxAccE=16.67 maxF1E=6.37 Ep14
Ep16 0s lossLab=1.6078 trainAcc=0.3417 testAcc=22.92 maxAcc=39.58 Ep9 testAccE=16.67 testF1E=6.17 maxAccE=16.67 maxF1E=6.37 Ep14
Ep17 0s lossLab=1.6532 trainAcc=0.2792 testAcc=33.33 maxAcc=39.58 Ep9 testAccE=16.67 testF1E=6.17 maxAccE=16.67 maxF1E=6.37 Ep14
Ep18 0s lossLab=1.6266 trainAcc=0.3500 testAcc=41.67 maxAcc=41.67 Ep18 testAccE=16.67 testF1E=6.32 maxAccE=16.67 maxF1E=6.37 Ep14
Ep19 0s lossLab=1.6230 trainAcc=0.3083 testAcc=41.67 maxAcc=41.67 Ep19 testAccE=18.75 testF1E=7.56 maxAccE=18.75 maxF1E=7.56 Ep19
Ep20 0s lossLab=1.5980 trainAcc=0.3792 testAcc=33.33 maxAcc=41.67 Ep19 testAccE=18.75 testF1E=7.57 maxAccE=18.75 maxF1E=7.56 Ep19
Ep21 0s lossLab=1.5867 trainAcc=0.3958 testAcc=18.75 maxAcc=41.67 Ep19 testAccE=18.75 testF1E=7.57 maxAccE=18.75 maxF1E=7.56 Ep19
Ep22 0s lossLab=1.4650 trainAcc=0.4500 testAcc=27.08 maxAcc=41.67 Ep19 testAccE=18.75 testF1E=7.57 maxAccE=18.75 maxF1E=7.56 Ep19
Ep23 0s lossLab=1.6799 trainAcc=0.4375 testAcc=39.58 maxAcc=41.67 Ep19 testAccE=18.75 testF1E=7.33 maxAccE=18.75 maxF1E=7.56 Ep19
Ep24 0s lossLab=1.4573 trainAcc=0.4708 testAcc=33.33 maxAcc=41.67 Ep19 testAccE=16.67 testF1E=6.22 maxAccE=18.75 maxF1E=7.56 Ep19
Ep25 0s lossLab=1.3615 trainAcc=0.4500 testAcc=39.58 maxAcc=41.67 Ep19 testAccE=16.67 testF1E=6.21 maxAccE=18.75 maxF1E=7.56 Ep19
Ep26 0s lossLab=1.2797 trainAcc=0.4917 testAcc=35.42 maxAcc=41.67 Ep19 testAccE=16.67 testF1E=6.27 maxAccE=18.75 maxF1E=7.56 Ep19
Ep27 0s lossLab=1.2629 trainAcc=0.5250 testAcc=47.92 maxAcc=47.92 Ep27 testAccE=16.67 testF1E=6.49 maxAccE=18.75 maxF1E=7.56 Ep19
Ep28 0s lossLab=1.4604 trainAcc=0.5167 testAcc=25.00 maxAcc=47.92 Ep27 testAccE=16.67 testF1E=6.66 maxAccE=18.75 maxF1E=7.56 Ep19
Ep29 0s lossLab=1.8989 trainAcc=0.3500 testAcc=39.58 maxAcc=47.92 Ep27 testAccE=16.67 testF1E=7.17 maxAccE=18.75 maxF1E=7.56 Ep19
Ep30 0s lossLab=1.1639 trainAcc=0.5333 testAcc=22.92 maxAcc=47.92 Ep27 testAccE=18.75 testF1E=8.21 maxAccE=18.75 maxF1E=7.56 Ep19
Ep31 0s lossLab=1.5115 trainAcc=0.4708 testAcc=20.83 maxAcc=47.92 Ep27 testAccE=14.58 testF1E=7.03 maxAccE=18.75 maxF1E=7.56 Ep19
Ep32 0s lossLab=1.2646 trainAcc=0.5333 testAcc=41.67 maxAcc=47.92 Ep27 testAccE=14.58 testF1E=7.03 maxAccE=18.75 maxF1E=7.56 Ep19
Ep33 0s lossLab=0.9058 trainAcc=0.6708 testAcc=43.75 maxAcc=47.92 Ep27 testAccE=14.58 testF1E=7.03 maxAccE=18.75 maxF1E=7.56 Ep19
