AVG 48.6%

Ep0 4s lossLab=144.0294 trainAcc=0.0875 testAcc=10.42 maxAcc=10.42 Ep0 testAccE=10.42 testF1E=2.95 maxAccE=10.42 maxF1E=2.95 Ep0
Model saved in file: ./saveModel/model-0
Ep1 0s lossLab=3.1684 trainAcc=0.0833 testAcc=12.50 maxAcc=12.50 Ep1 testAccE=14.58 testF1E=7.58 maxAccE=14.58 maxF1E=7.58 Ep1
Ep2 0s lossLab=2.2912 trainAcc=0.1208 testAcc=4.17 maxAcc=12.50 Ep1 testAccE=14.58 testF1E=7.58 maxAccE=14.58 maxF1E=7.58 Ep2
Ep3 0s lossLab=2.3126 trainAcc=0.1500 testAcc=12.50 maxAcc=12.50 Ep1 testAccE=14.58 testF1E=7.58 maxAccE=14.58 maxF1E=7.58 Ep3
Ep4 0s lossLab=2.1484 trainAcc=0.2375 testAcc=18.75 maxAcc=18.75 Ep4 testAccE=14.58 testF1E=7.58 maxAccE=14.58 maxF1E=7.58 Ep4
Ep5 0s lossLab=2.0811 trainAcc=0.2250 testAcc=10.42 maxAcc=18.75 Ep4 testAccE=14.58 testF1E=7.14 maxAccE=14.58 maxF1E=7.14 Ep5
Ep6 0s lossLab=2.0130 trainAcc=0.2333 testAcc=0.00 maxAcc=18.75 Ep4 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep7 0s lossLab=2.0037 trainAcc=0.2167 testAcc=20.83 maxAcc=20.83 Ep7 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep8 0s lossLab=1.9840 trainAcc=0.2167 testAcc=31.25 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep9 0s lossLab=2.0589 trainAcc=0.2333 testAcc=12.50 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep10 0s lossLab=1.9476 trainAcc=0.2417 testAcc=18.75 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep11 0s lossLab=1.9830 trainAcc=0.2917 testAcc=14.58 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep12 0s lossLab=1.8587 trainAcc=0.2917 testAcc=0.00 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep13 0s lossLab=1.9680 trainAcc=0.2833 testAcc=18.75 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep14 0s lossLab=1.8249 trainAcc=0.3042 testAcc=16.67 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=6.09 maxAccE=14.58 maxF1E=7.14 Ep5
Ep15 0s lossLab=1.7515 trainAcc=0.3292 testAcc=12.50 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=3.96 maxAccE=14.58 maxF1E=7.14 Ep5
Ep16 0s lossLab=1.6393 trainAcc=0.3708 testAcc=14.58 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=3.96 maxAccE=14.58 maxF1E=7.14 Ep5
Ep17 0s lossLab=1.6429 trainAcc=0.4042 testAcc=18.75 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=3.96 maxAccE=14.58 maxF1E=7.14 Ep5
Ep18 0s lossLab=1.6909 trainAcc=0.3833 testAcc=14.58 maxAcc=31.25 Ep8 testAccE=8.33 testF1E=2.57 maxAccE=14.58 maxF1E=7.14 Ep5
Ep19 0s lossLab=1.6122 trainAcc=0.4042 testAcc=22.92 maxAcc=31.25 Ep8 testAccE=8.33 testF1E=2.57 maxAccE=14.58 maxF1E=7.14 Ep5
Ep20 0s lossLab=1.4949 trainAcc=0.4292 testAcc=25.00 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=2.90 maxAccE=14.58 maxF1E=7.14 Ep5
Ep21 0s lossLab=1.6086 trainAcc=0.4042 testAcc=31.25 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=2.90 maxAccE=14.58 maxF1E=7.14 Ep5
Ep22 0s lossLab=1.3941 trainAcc=0.5167 testAcc=16.67 maxAcc=31.25 Ep8 testAccE=10.42 testF1E=2.90 maxAccE=14.58 maxF1E=7.14 Ep5
Ep23 0s lossLab=1.2848 trainAcc=0.5000 testAcc=39.58 maxAcc=39.58 Ep23 testAccE=10.42 testF1E=2.90 maxAccE=14.58 maxF1E=7.14 Ep5
Ep24 0s lossLab=1.4920 trainAcc=0.4542 testAcc=27.08 maxAcc=39.58 Ep23 testAccE=10.42 testF1E=2.90 maxAccE=14.58 maxF1E=7.14 Ep5
Ep25 0s lossLab=1.3746 trainAcc=0.4917 testAcc=22.92 maxAcc=39.58 Ep23 testAccE=10.42 testF1E=3.01 maxAccE=14.58 maxF1E=7.14 Ep5
Ep26 0s lossLab=1.1773 trainAcc=0.5542 testAcc=45.83 maxAcc=45.83 Ep26 testAccE=10.42 testF1E=3.06 maxAccE=14.58 maxF1E=7.14 Ep5
Ep27 0s lossLab=1.0294 trainAcc=0.6250 testAcc=27.08 maxAcc=45.83 Ep26 testAccE=10.42 testF1E=3.06 maxAccE=14.58 maxF1E=7.14 Ep5
Ep28 0s lossLab=1.1417 trainAcc=0.5375 testAcc=35.42 maxAcc=45.83 Ep26 testAccE=10.42 testF1E=3.06 maxAccE=14.58 maxF1E=7.14 Ep5
Ep29 0s lossLab=1.0259 trainAcc=0.6375 testAcc=47.92 maxAcc=47.92 Ep29 testAccE=10.42 testF1E=3.32 maxAccE=14.58 maxF1E=7.14 Ep5
Ep30 0s lossLab=0.8544 trainAcc=0.6833 testAcc=35.42 maxAcc=47.92 Ep29 testAccE=14.58 testF1E=7.49 maxAccE=14.58 maxF1E=7.49 Ep30
Ep31 0s lossLab=0.8756 trainAcc=0.6750 testAcc=45.83 maxAcc=47.92 Ep29 testAccE=14.58 testF1E=7.89 maxAccE=14.58 maxF1E=7.89 Ep31
Ep32 0s lossLab=0.8261 trainAcc=0.6875 testAcc=35.42 maxAcc=47.92 Ep29 testAccE=14.58 testF1E=7.36 maxAccE=14.58 maxF1E=7.36 Ep32
Ep33 0s lossLab=0.5605 trainAcc=0.8167 testAcc=47.92 maxAcc=47.92 Ep33 testAccE=12.50 testF1E=6.50 maxAccE=14.58 maxF1E=7.36 Ep32
