AVG 60.1%

Ep0 3s lossLab=64.1073 trainAcc=0.1083 testAcc=10.42 maxAcc=10.42 Ep0 testAccE=12.50 testF1E=4.84 maxAccE=12.50 maxF1E=4.84 Ep0
Model saved in file: ./saveModel/model-0
Ep1 0s lossLab=2.3715 trainAcc=0.1500 testAcc=29.17 maxAcc=29.17 Ep1 testAccE=12.50 testF1E=5.01 maxAccE=12.50 maxF1E=4.84 Ep0
Ep2 0s lossLab=2.1896 trainAcc=0.2208 testAcc=25.00 maxAcc=29.17 Ep1 testAccE=12.50 testF1E=4.81 maxAccE=12.50 maxF1E=4.84 Ep0
Ep3 0s lossLab=2.1565 trainAcc=0.2208 testAcc=18.75 maxAcc=29.17 Ep1 testAccE=12.50 testF1E=4.64 maxAccE=12.50 maxF1E=4.84 Ep0
Ep4 0s lossLab=1.9688 trainAcc=0.2750 testAcc=37.50 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=3.42 maxAccE=12.50 maxF1E=4.84 Ep0
Ep5 0s lossLab=2.1619 trainAcc=0.2833 testAcc=20.83 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=3.42 maxAccE=12.50 maxF1E=4.84 Ep0
Ep6 0s lossLab=2.1087 trainAcc=0.2125 testAcc=18.75 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=3.42 maxAccE=12.50 maxF1E=4.84 Ep0
Ep7 0s lossLab=2.0860 trainAcc=0.2333 testAcc=18.75 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=3.42 maxAccE=12.50 maxF1E=4.84 Ep0
Ep8 0s lossLab=1.9982 trainAcc=0.2833 testAcc=20.83 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=3.42 maxAccE=12.50 maxF1E=4.84 Ep0
Ep9 0s lossLab=1.9635 trainAcc=0.2917 testAcc=10.42 maxAcc=37.50 Ep4 testAccE=8.33 testF1E=1.95 maxAccE=12.50 maxF1E=4.84 Ep0
Ep10 0s lossLab=1.8542 trainAcc=0.3833 testAcc=27.08 maxAcc=37.50 Ep4 testAccE=8.33 testF1E=1.95 maxAccE=12.50 maxF1E=4.84 Ep0
Ep11 0s lossLab=1.9719 trainAcc=0.3292 testAcc=29.17 maxAcc=37.50 Ep4 testAccE=6.25 testF1E=1.51 maxAccE=12.50 maxF1E=4.84 Ep0
Ep12 0s lossLab=1.7398 trainAcc=0.3792 testAcc=18.75 maxAcc=37.50 Ep4 testAccE=6.25 testF1E=1.51 maxAccE=12.50 maxF1E=4.84 Ep0
Ep13 0s lossLab=1.8154 trainAcc=0.3750 testAcc=27.08 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=3.61 maxAccE=12.50 maxF1E=4.84 Ep0
Ep14 0s lossLab=1.6667 trainAcc=0.4292 testAcc=27.08 maxAcc=37.50 Ep4 testAccE=12.50 testF1E=4.17 maxAccE=12.50 maxF1E=4.84 Ep0
Ep15 0s lossLab=1.7428 trainAcc=0.4333 testAcc=37.50 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=2.92 maxAccE=12.50 maxF1E=4.84 Ep0
Ep16 0s lossLab=1.6870 trainAcc=0.4750 testAcc=35.42 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=2.67 maxAccE=12.50 maxF1E=4.84 Ep0
Ep17 0s lossLab=1.6328 trainAcc=0.4458 testAcc=10.42 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=2.64 maxAccE=12.50 maxF1E=4.84 Ep0
Ep18 0s lossLab=1.8834 trainAcc=0.4000 testAcc=12.50 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=2.39 maxAccE=12.50 maxF1E=4.84 Ep0
Ep19 0s lossLab=1.3563 trainAcc=0.5333 testAcc=27.08 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=2.30 maxAccE=12.50 maxF1E=4.84 Ep0
Ep20 0s lossLab=1.2267 trainAcc=0.5583 testAcc=33.33 maxAcc=37.50 Ep4 testAccE=10.42 testF1E=2.17 maxAccE=12.50 maxF1E=4.84 Ep0
Ep21 0s lossLab=1.1468 trainAcc=0.6167 testAcc=43.75 maxAcc=43.75 Ep21 testAccE=10.42 testF1E=2.17 maxAccE=12.50 maxF1E=4.84 Ep0
Ep22 0s lossLab=2.1282 trainAcc=0.4208 testAcc=22.92 maxAcc=43.75 Ep21 testAccE=10.42 testF1E=2.11 maxAccE=12.50 maxF1E=4.84 Ep0
Ep23 0s lossLab=1.6439 trainAcc=0.4000 testAcc=31.25 maxAcc=43.75 Ep21 testAccE=10.42 testF1E=2.11 maxAccE=12.50 maxF1E=4.84 Ep0
Ep24 0s lossLab=1.4480 trainAcc=0.4875 testAcc=45.83 maxAcc=45.83 Ep24 testAccE=10.42 testF1E=2.15 maxAccE=12.50 maxF1E=4.84 Ep0
Ep25 0s lossLab=1.4422 trainAcc=0.4875 testAcc=41.67 maxAcc=45.83 Ep24 testAccE=10.42 testF1E=2.15 maxAccE=12.50 maxF1E=4.84 Ep0
Ep26 0s lossLab=1.3158 trainAcc=0.5375 testAcc=20.83 maxAcc=45.83 Ep24 testAccE=12.50 testF1E=4.25 maxAccE=12.50 maxF1E=4.84 Ep0
Ep27 0s lossLab=1.1373 trainAcc=0.6375 testAcc=31.25 maxAcc=45.83 Ep24 testAccE=14.58 testF1E=7.14 maxAccE=14.58 maxF1E=7.14 Ep27
Ep28 0s lossLab=0.9673 trainAcc=0.6875 testAcc=29.17 maxAcc=45.83 Ep24 testAccE=14.58 testF1E=5.72 maxAccE=14.58 maxF1E=5.72 Ep28
Ep29 0s lossLab=1.0796 trainAcc=0.6583 testAcc=33.33 maxAcc=45.83 Ep24 testAccE=16.67 testF1E=7.05 maxAccE=16.67 maxF1E=7.05 Ep29
Ep30 0s lossLab=0.8784 trainAcc=0.6875 testAcc=45.83 maxAcc=45.83 Ep24 testAccE=10.42 testF1E=4.92 maxAccE=16.67 maxF1E=7.05 Ep29
Ep31 0s lossLab=0.7492 trainAcc=0.7292 testAcc=58.33 maxAcc=58.33 Ep31 testAccE=12.50 testF1E=5.98 maxAccE=16.67 maxF1E=7.05 Ep29
Ep32 0s lossLab=1.1357 trainAcc=0.6417 testAcc=56.25 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.95 maxAccE=16.67 maxF1E=7.05 Ep29
Ep33 0s lossLab=0.6444 trainAcc=0.7833 testAcc=37.50 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.75 maxAccE=16.67 maxF1E=7.05 Ep29
Ep34 0s lossLab=0.6382 trainAcc=0.7917 testAcc=45.83 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
Ep35 0s lossLab=1.2538 trainAcc=0.6167 testAcc=37.50 maxAcc=58.33 Ep31 testAccE=10.42 testF1E=3.58 maxAccE=16.67 maxF1E=7.05 Ep29
